Seconds,Value.ChunkData.FrameID,Value.ChunkData.Timestamp
1096.419584,33477,929666719536
1096.436224,33478,929683386104
1096.4528640000001,33479,929700052240
1096.4695360000001,33480,929716718024
1096.486208,33481,929733384104
1096.50288,33482,929750051080
1096.519552,33483,929766716568
1096.5362239999999,33484,929783383432
1096.552864,33485,929800045136
1096.569536,33486,929816711616
1096.5862079999999,33487,929833377104
1096.6028799999999,33488,929850043616
1096.6195520000001,33489,929866709512
1096.6362240000001,33490,929883376136
1096.6528639999999,33491,929900042592
1096.6695360000001,33492,929916704104
1096.6862080000001,33493,929933370136
1096.7028800000001,33494,929950037056
1096.7195200000001,33495,929966702616
1096.7361920000001,33496,929983369104
1096.752864,33497,930000035568
1096.769536,33498,930016701352
1096.786208,33499,930033367136
1096.80288,33500,930050033888
1096.81952,33501,930066699512
1096.836192,33502,930083361864
1096.852864,33503,930100028056
1096.8695359999999,33504,930116694488
1096.8862079999999,33505,930133360568
1096.9028479999999,33506,930150026920
1096.9195199999999,33507,930166693136
1096.9361919999999,33508,930183359000
1096.9528640000001,33509,930200021000
1096.9695360000001,33510,930216687400
1096.986208,33511,930233353616
1097.0028480000001,33512,930250019352
1097.0195200000001,33513,930266686104
1097.036192,33514,930283352400
1097.052864,33515,930300017968
1097.069536,33516,930316684136
1097.086176,33517,930333350488
1097.102848,33518,930350013104
1097.11952,33519,930366679024
1097.1361919999999,33520,930383345080
1097.1528639999999,33521,930400010976
1097.169504,33522,930416677024
1097.1861759999999,33523,930433343616
1097.2028479999999,33524,930450009968
1097.2195200000001,33525,930466676104
1097.2361920000001,33526,930483342352
1097.252864,33527,930500004624
1097.2695040000001,33528,930516669944
1097.2861760000001,33529,930533336568
1097.302848,33530,930550003136
1097.31952,33531,930566668808
1097.336192,33532,930583335000
1097.352832,33533,930600001136
1097.369504,33534,930616667056
1097.386176,33535,930633329056
1097.4028479999999,33536,930649995616
1097.4195199999999,33537,930666661808
1097.4361919999999,33538,930683328352
1097.4528319999999,33539,930699994080
1097.4695039999999,33540,930716660512
1097.4861759999999,33541,930733326000
1097.5028480000001,33542,930749992184
1097.5194879999999,33543,930766658592
1097.5361600000001,33544,930783324888
1097.5528320000001,33545,930799987568
1097.5695040000001,33546,930816653512
1097.586176,33547,930833319080
1097.602848,33548,930849985648
1097.619488,33549,930866651864
1097.63616,33550,930883318056
1097.652832,33551,930899984136
1097.669504,33552,930916646808
1097.6861759999999,33553,930933312296
1097.702816,33554,930949978944
1097.719488,33555,930966644944
1097.7361599999999,33556,930983310752
1097.7528319999999,33557,930999977104
1097.7695040000001,33558,931016643296
1097.7861760000001,33559,931033309056
1097.8028159999999,33560,931049975512
1097.8194880000001,33561,931066638056
1097.8361600000001,33562,931083303968
1097.852832,33563,931099970024
1097.869504,33564,931116636240
1097.8861440000001,33565,931133301968
1097.902816,33566,931149969104
1097.919488,33567,931166634536
1097.93616,33568,931183300568
1097.9528319999999,33569,931199967136
1097.969472,33570,931216629080
1097.986144,33571,931233295056
1098.0028159999999,33572,931249962080
1098.0194879999999,33573,931266628024
1098.0361600000001,33574,931283294056
1098.0528320000001,33575,931299960592
1098.0694719999999,33576,931316626000
1098.0861440000001,33577,931333288400
1098.1028160000001,33578,931349955080
1098.119488,33579,931366620616
1098.13616,33580,931383287104
1098.1528000000001,33581,931399953024
1098.169472,33582,931416619216
1098.186144,33583,931433285456
1098.202816,33584,931449952024
1098.219488,33585,931466618136
1098.236128,33586,931483284024
1098.2528,33587,931499946296
1098.269472,33588,931516612728
1098.2861439999999,33589,931533278728
1098.3028159999999,33590,931549944104
1098.3194880000001,33591,931566611024
1098.3361279999999,33592,931583277296
1098.3527999999999,33593,931599943160
1098.3694720000001,33594,931616605616
1098.3861440000001,33595,931633271536
1098.402816,33596,931649937784
1098.4194560000001,33597,931666603944
1098.4361280000001,33598,931683269592
1098.4528,33599,931699935920
1098.469472,33600,931716602104
1098.486144,33601,931733268616
1098.502784,33602,931749934320
1098.519456,33603,931766597104
1098.536128,33604,931783263056
1098.5527999999999,33605,931799928616
1098.5694719999999,33606,931816595216
1098.5861440000001,33607,931833261376
1098.6027839999999,33608,931849927320
1098.6194559999999,33609,931866594104
1098.6361280000001,33610,931883259840
1098.6528000000001,33611,931899926080
1098.669472,33612,931916587888
1098.6861120000001,33613,931933254080
1098.7027840000001,33614,931949920408
1098.719456,33615,931966586568
1098.736128,33616,931983252864
1098.7528,33617,931999919408
1098.76944,33618,932016585592
1098.786112,33619,932033251352
1098.802784,33620,932049913568
1098.8194559999999,33621,932066580056
1098.8361279999999,33622,932083245752
1098.8527999999999,33623,932099911944
1098.8694399999999,33624,932116578568
1098.8861119999999,33625,932133244616
1098.9027840000001,33626,932149910888
1098.9194560000001,33627,932166576672
1098.9361280000001,33628,932183242840
1098.9527680000001,33629,932199908592
1098.9694400000001,33630,932216571056
1098.986112,33631,932233236968
1099.0027520000001,33632,932249903080
1099.0194240000001,33633,932266569432
1099.036096,33634,932283236056
1099.0527360000001,33635,932299901616
1099.0694080000001,33636,932316564080
1099.08608,33637,932333230104
1099.102752,33638,932349900512
1099.1193920000001,33639,932366562616
1099.136096,33640,932383228752
1099.152736,33641,932399895320
1099.169408,33642,932416561488
1099.1860799999999,33643,932433227056
1099.2027519999999,33644,932449893104
1099.219392,33645,932466559136
1099.2360960000001,33646,932483221616
1099.2527359999999,33647,932499887968
1099.2694080000001,33648,932516554104
1099.2860800000001,33649,932533220592
1099.3027199999999,33650,932549886968
1099.3193920000001,33651,932566552512
1099.336096,33652,932583218568
